Nome	CPF	Salário	salario
Leandro	42324089830	 R$ 11.560,00 	 R$ 1.780,00 
Michele	42324089832	 R$ 11.580,00 	 R$ 1.790,00 
Rejane	42324089833	 R$ 11.600,00 	 R$ 1.800,00 
Paulo	42324089834	 R$ 11.620,00 	 R$ 1.810,00 
Debora	42324089835	 R$ 11.640,00 	 R$ 1.820,00 
Danielly	42324089836	 R$ 11.660,00 	 R$ 1.830,00 
Ramon	42324089837	 R$ 11.680,00 	 R$ 1.840,00 
Danie	42324089838	 R$ 11.700,00 	 R$ 1.850,00 
Fernanda	42324089839	 R$ 11.720,00 	 R$ 1.860,00 
Thais	42324089001	 R$ 11.740,00 	 R$ 1.870,00 
Thais	42324089002	 R$ 11.760,00 	 R$ 1.880,00 
Edson	42324089003	 R$ 11.780,00 	 R$ 1.890,00 
Elaine	42324089004	 R$ 11.800,00 	 R$ 1.900,00 
Adriano	42324089005	 R$ 11.820,00 	 R$ 1.910,00 
Marcio	42324089006	 R$ 11.840,00 	 R$ 1.920,00 
Paula	42324089007	 R$ 11.860,00 	 R$ 1.930,00 
Marcelo	42324089008	 R$ 11.880,00 	 R$ 1.940,00 
Vinicius	42324089009	 R$ 11.900,00 	 R$ 1.950,00 
Marcelo	42324089010	 R$ 11.920,00 	 R$ 1.960,00 
Andressa	42324089011	 R$ 11.940,00 	 R$ 1.970,00 
Bruno	42324089012	 R$ 11.960,00 	 R$ 1.980,00 
Jefferson	42324089013	 R$ 11.980,00 	 R$ 1.990,00 
Marco	42324089014	 R$ 12.000,00 	 R$ 2.000,00 
Vivian	42324089015	 R$ 12.020,00 	 R$ 2.010,00 
Mirella	42324089016	 R$ 12.040,00 	 R$ 2.020,00 
Jefferson	42324089017	 R$ 12.060,00 	 R$ 2.030,00 
Marcelo	42324089018	 R$ 12.080,00 	 R$ 2.040,00 
Jose	42324089019	 R$ 12.100,00 	 R$ 2.050,00 
Rosangela	42324089020	 R$ 12.120,00 	 R$ 2.060,00 
Marcio	42324089021	 R$ 12.140,00 	 R$ 2.070,00 
Daniella	42324089022	 R$ 12.160,00 	 R$ 2.080,00 
Ivana	42324089023	 R$ 12.180,00 	 R$ 2.090,00 
Luiz	42324089024	 R$ 12.200,00 	 R$ 2.100,00 
Milene	42324089025	 R$ 12.220,00 	 R$ 2.110,00 
Paulo	42324089026	 R$ 12.240,00 	 R$ 2.120,00 
Ozelangela	42324089027	 R$ 12.260,00 	 R$ 2.130,00 
Jefferson	42324089028	 R$ 12.280,00 	 R$ 2.140,00 
Kleber	42324089029	 R$ 12.300,00 	 R$ 2.150,00 
Solange	42324089030	 R$ 12.320,00 	 R$ 2.160,00 
Denise	42324089030	 R$ 12.340,00 	 R$ 2.170,00 
Patricia	42324089031	 R$ 12.360,00 	 R$ 2.180,00 
Telma	42324089032	 R$ 12.380,00 	 R$ 2.190,00 
Luciane	42324089033	 R$ 12.400,00 	 R$ 2.200,00 
Rosana	42324089034	 R$ 12.420,00 	 R$ 2.210,00 
Luciano	42324089035	 R$ 12.440,00 	 R$ 2.220,00 
Luciano	42324089036	 R$ 12.460,00 	 R$ 2.230,00 
Marcus	42324089037	 R$ 12.480,00 	 R$ 2.240,00 
Carlos	42324089038	 R$ 12.500,00 	 R$ 2.250,00 
Sandra	42324089039	 R$ 12.520,00 	 R$ 2.260,00 
Leandro	42324089040	 R$ 12.540,00 	 R$ 2.270,00 
Michele	42324089041	 R$ 12.560,00 	 R$ 2.280,00 
Rejane	42324089042	 R$ 12.580,00 	 R$ 2.290,00 
Paulo	42324089043	 R$ 12.600,00 	 R$ 2.300,00 
Debora	42324089044	 R$ 12.620,00 	 R$ 2.310,00 
Danielly	42324089045	 R$ 12.640,00 	 R$ 2.320,00 
Ramon	42324089046	 R$ 12.660,00 	 R$ 2.330,00 
Danie	42324089047	 R$ 12.680,00 	 R$ 2.340,00 
Fernanda	42324089048	 R$ 12.700,00 	 R$ 2.350,00 
Thais	42324089049	 R$ 12.720,00 	 R$ 2.360,00 
Thais	42324089050	 R$ 12.740,00 	 R$ 2.370,00 
Edson	42324089051	 R$ 12.760,00 	 R$ 2.380,00 
Elaine	42324089052	 R$ 12.780,00 	 R$ 2.390,00 
Adriano	42324089053	 R$ 12.800,00 	 R$ 2.400,00 
Marcio	42324089054	 R$ 12.820,00 	 R$ 2.410,00 
Paula	42324089055	 R$ 12.840,00 	 R$ 2.420,00 
Marcelo	42324089056	 R$ 12.860,00 	 R$ 2.430,00 
Vinicius	42324089057	 R$ 12.880,00 	 R$ 2.440,00 
Marcelo	42324089058	 R$ 12.900,00 	 R$ 2.450,00 
Andressa	42324089059	 R$ 12.920,00 	 R$ 2.460,00 
Bruno	42324089060	 R$ 12.940,00 	 R$ 2.470,00 
Jefferson	42324089061	 R$ 12.960,00 	 R$ 2.480,00 
Marco	42324089062	 R$ 12.980,00 	 R$ 2.490,00 
Vivian	42324089063	 R$ 13.000,00 	 R$ 2.500,00 
Mirella	42324089064	 R$ 13.020,00 	 R$ 2.510,00 
Jefferson	42324089065	 R$ 13.040,00 	 R$ 2.520,00 
Marcelo	42324089066	 R$ 13.060,00 	 R$ 2.530,00 
Jose	42324089067	 R$ 13.080,00 	 R$ 2.540,00 
Rosangela	42324089068	 R$ 13.100,00 	 R$ 2.550,00 
Marcio	42324089069	 R$ 13.120,00 	 R$ 2.560,00 
Daniella	42324089070	 R$ 13.140,00 	 R$ 2.570,00 
Ivana	42324089071	 R$ 13.160,00 	 R$ 2.580,00 
Luiz	42324089072	 R$ 13.180,00 	 R$ 2.590,00 
Milene	42324089073	 R$ 13.200,00 	 R$ 2.600,00 
Paulo	42324089074	 R$ 13.220,00 	 R$ 2.610,00 
Ozelangela	42324089075	 R$ 13.240,00 	 R$ 2.620,00 
Jefferson	42324089076	 R$ 13.260,00 	 R$ 2.630,00 
Kleber	42324089077	 R$ 13.280,00 	 R$ 2.640,00 
Solange	42324089078	 R$ 13.300,00 	 R$ 2.650,00 
Denise	42324089079	 R$ 13.320,00 	 R$ 2.660,00 
Patricia	42324089080	 R$ 13.340,00 	 R$ 2.670,00 
Telma	42324089081	 R$ 13.360,00 	 R$ 2.680,00 
Luciane	42324089082	 R$ 13.380,00 	 R$ 2.690,00 
Rosana	42324089083	 R$ 13.400,00 	 R$ 2.700,00 
Luciano	42324089084	 R$ 13.420,00 	 R$ 2.710,00 
Luciano	42324089085	 R$ 13.440,00 	 R$ 2.720,00 
Marcus	42324089086	 R$ 13.460,00 	 R$ 2.730,00 
Carlos	42324089087	 R$ 13.480,00 	 R$ 2.740,00 
Sandra	42324089088	 R$ 13.500,00 	 R$ 2.750,00 
Leandro	42324089089	 R$ 13.520,00 	 R$ 2.760,00 
Michele	42324089090	 R$ 13.540,00 	 R$ 2.770,00 
Rejane	42324089091	 R$ 13.560,00 	 R$ 2.780,00 
Paulo	42324089092	 R$ 13.580,00 	 R$ 2.790,00 
Debora	42324089093	 R$ 13.600,00 	 R$ 2.800,00 
Danielly	42324089094	 R$ 13.620,00 	 R$ 2.810,00 
Ramon	42324089095	 R$ 13.640,00 	 R$ 2.820,00 
Danie	42324089096	 R$ 13.660,00 	 R$ 2.830,00 
Fernanda	42324089097	 R$ 13.680,00 	 R$ 2.840,00 
Thais	42324089098	 R$ 13.700,00 	 R$ 2.850,00 
Thais	42324089099	 R$ 13.720,00 	 R$ 2.860,00 
Edson	42324089401	 R$ 13.740,00 	 R$ 2.870,00 
Elaine	42324089402	 R$ 13.760,00 	 R$ 2.880,00 
Adriano	42324089403	 R$ 13.780,00 	 R$ 2.890,00 
Marcio	42324089404	 R$ 13.800,00 	 R$ 2.900,00 
Paula	42324089405	 R$ 13.820,00 	 R$ 2.910,00 
Marcelo	42324089406	 R$ 13.840,00 	 R$ 2.920,00 
Vinicius	42324089407	 R$ 13.860,00 	 R$ 2.930,00 
Marcelo	42324089408	 R$ 13.880,00 	 R$ 2.940,00 
Andressa	42324089409	 R$ 13.900,00 	 R$ 2.950,00 
Vinicius	42324089410	 R$ 13.920,00 	 R$ 2.960,00 
Marcelo	42324089411	 R$ 13.940,00 	 R$ 2.970,00 
Andressa	42324089412	 R$ 13.960,00 	 R$ 2.980,00 
